Жанр фильма,"Продолжительность, часы","Продолжительность, минуты",Страна производства,Год производства
Драма,нет данных,32,США,2017.0
Триллер,2,29,Россия,2010.0
Комедия,1,20,США,2004.0
Триллер,1,2,Франция,2014.0
Комедия,6,50,Франция,2005.0
Драма,1,36,Франция,2005.0
Триллер,1,49,Россия,2004.0
Драма,нет данных,11,США,2000.0
Драма,1,3,США-Германия,2005.0
Драма,1,57,США,1995.0
Комедия,0,33,Россия,2002.0
Боевик,1,30,Германия,2013.0
Драма,0,19,Россия,2004.0
Комедия,1,55,Франция-Италия,2015.0
Боевик,1,24,США,2007.0
Боевик,1,8,Россия,2011.0
Драма,1,30,Россия,2009.0
Документальный,нет данных,23,Франция,2010.0
Драма,2,20,Россия,2016.0
Триллер,3,26,Россия,2009.0
Боевик,2,27,Россия,2003.0
Комедия,1,27,Россия,1999.0
Боевик,нет данных,15,Германия,2012.0
Боевик,2,15,Россия-Италия,2002.0
Боевик,1,31,Россия,2010.0
Комедия,1,49,США,2010.0
Боевик,нет данных,10,Россия,2002.0
Драма,0,40,Италия,2022.0
Драма,1,12,Россия,2010.0
Документальный,1,9,Россия,2006.0
Боевик,0,26,Россия,2016.0
Триллер,1,28,Россия,2009.0
Документальный,1,15,Италия,2014.0
Документальный,нет данных,51,США,2007.0
Драма,1,30,США,2008.0
Боевик,1,49,США,
Боевик,1,45,США,2007.0
Боевик,1,35,Германия,1995.0
Драма,1,46,США-Германия,2009.0
Комедия,0,52,Россия,2010.0
Драма,0,27,Франция,2001.0
Триллер,1,16,США,2010.0
Комедия,1,36,США-Германия,2009.0
Документальный,1,44,Россия,
Боевик,2,43,Россия-Италия,2003.0
Боевик,нет данных,37,Россия,
Боевик,1,0,США,2017.0
Документальный,6,49,Франция,2001.0
Драма,1,6,США,2001.0
Боевик,нет данных,48,США,2003.0
Триллер,1,0,Германия,
Документальный,1,42,Россия-Франция,2008.0
Комедия,1,20,Франция,2013.0
Триллер,0,11,Германия,1996.0
Боевик,1,26,Россия,2009.0
Документальный,1,7,Италия,2017.0
Триллер,5,47,Россия,2005.0
Триллер,2,4,Россия,2014.0
Боевик,1,32,Россия,2017.0
Драма,0,31,Россия,2000.0
Комедия,1,0,США-Германия,2003.0
Документальный,1,39,Россия,2015.0
Драма,1,52,Германия-Франция,2009.0
Триллер,1,42,Германия,2011.0
Триллер,1,48,США,2012.0
Драма,2,33,США,2010.0
Комедия,нет данных,38,Франция,2012.0
Триллер,0,55,Франция-Италия,2012.0
Драма,1,43,Россия,2007.0
Триллер,0,34,Франция,
Боевик,1,27,США,2008.0
Боевик,1,45,США,2006.0
Драма,10,45,Франция,2004.0
Боевик,1,30,Италия,
Триллер,1,55,США,2011.0
Боевик,1,26,Германия,2008.0
Боевик,1,0,Франция,2004.0
Боевик,1,35,США,2001.0
Комедия,1,57,США,2002.0
Драма,1,35,Россия,2010.0
Драма,1,34,США,2009.0
Драма,1,23,Италия,2012.0
Документальный,нет данных,34,США,2007.0
Боевик,нет данных,29,Россия,2010.0
Документальный,1,125,США,2015.0
Триллер,1,46,Россия,1995.0
Боевик,1,52,Германия,2009.0
Триллер,3,70,Россия-Франция,2015.0
Боевик,нет данных,43,Россия,2016.0
Триллер,0,36,Россия,
Боевик,1,31,Россия,2018.0
Боевик,2,40,США,2001.0
Боевик,1,15,Франция,2008.0
Драма,1,30,Россия-Италия,2004.0
Триллер,1,12,Италия,2004.0
Боевик,1,26,Россия,2014.0
Документальный,1,45,Россия,2008.0
Драма,13,28,Россия,2007.0
Триллер,нет данных,42,США,2012.0
Боевик,нет данных,7,Россия,2010.0
Драма,1,13,Россия,2013.0
Триллер,1,23,Россия-Италия,
Комедия,1,44,Россия,2012.0
Драма,1,21,Россия,2009.0
Комедия,нет данных,39,Германия-Франция,2007.0
Документальный,0,31,США,2006.0
Боевик,нет данных,0,Россия,
Боевик,1,26,Италия,2007.0
Комедия,1,50,Россия,2003.0
Боевик,1,57,Италия,2013.0
Триллер,1,36,Россия,2014.0
Боевик,1,10,Россия,2018.0
Драма,1,38,США,2006.0
Драма,1,4,Россия,2010.0
Драма,1,58,Россия,2003.0
Триллер,2,35,Россия,2003.0
Документальный,9,51,США,2017.0
Драма,1,8,Италия,2009.0
Драма,нет данных,22,Франция-Италия,
Боевик,1,60,США,2008.0
Боевик,3,44,Россия,2011.0
Триллер,1,30,Франция,2012.0
Драма,6,3,Россия,2015.0
Боевик,0,11,США,2015.0
Боевик,0,42,США,2009.0
Боевик,1,5,Франция,2003.0
Комедия,нет данных,56,США,2011.0
Боевик,1,45,Франция,2010.0
Боевик,1,30,Франция,2025.0
Боевик,1,41,Германия,2009.0
Боевик,1,23,Россия,1999.0
Драма,10,44,США,2008.0
Боевик,3,12,Россия-Франция,2016.0
Документальный,нет данных,26,Франция,2013.0
Боевик,1,26,Италия,2005.0
Драма,нет данных,11,США-Германия,2020.0
Боевик,нет данных,0,Россия,2004.0
Комедия,15,10,Италия,2011.0
Драма,0,30,Франция,2005.0
Документальный,1,27,США,2013.0
Документальный,2,52,Италия,2016.0
Комедия,нет данных,15,Италия,2014.0
Боевик,0,38,Россия,2010.0
Триллер,нет данных,35,Россия,2015.0
Драма,нет данных,51,Германия,2010.0
Драма,1,22,Франция-Италия,
Боевик,1,14,США,2014.0
Драма,0,0,Россия,2011.0
Боевик,0,27,Германия,2008.0
Триллер,0,22,Россия,2009.0
Боевик,1,45,США,2010.0
Драма,1,21,Германия,2012.0
Комедия,нет данных,39,Италия,2002.0
Документальный,1,15,Россия,2005.0
Драма,16,36,США,2018.0
Триллер,1,53,Россия,2007.0
Боевик,0,43,США,2015.0
Драма,1,14,Россия,2016.0
Боевик,0,31,Россия,2013.0
Триллер,1,26,Россия,2003.0
Комедия,1,53,Россия-Германия,2008.0
Боевик,1,30,США,2015.0
Комедия,1,37,Россия,2002.0
Драма,0,25,Италия,2011.0
Триллер,2,27,США,2018.0
Триллер,1,16,США,2009.0
Комедия,1,30,Россия,2007.0
Триллер,3,59,США,1997.0
Комедия,0,7,США,2013.0
Драма,2,35,Германия,2021.0
Триллер,1,34,Франция,2015.0
Триллер,1,28,Россия,2005.0
Триллер,1,50,Германия,2014.0
Боевик,2,24,США,
Документальный,нет данных,5,Франция-Италия,2001.0
Драма,1,29,Германия,2017.0
Драма,нет данных,52,Россия,2004.0
Триллер,1,22,Италия,2011.0
Комедия,2,40,Россия-Германия,2009.0
Боевик,1,20,США,2014.0
Триллер,4,49,США,2007.0
Документальный,1,55,Россия,2005.0
Драма,4,47,Италия,2000.0
Драма,нет данных,25,Франция,2013.0
Триллер,нет данных,36,Россия,2000.0
Драма,1,36,Италия,2013.0
Боевик,3,27,Франция,2013.0
Боевик,1,33,Россия,2006.0
Триллер,1,24,Франция,2008.0
Боевик,1,5,Россия,1998.0
Боевик,1,1,Россия,2016.0
Боевик,1,50,США,2008.0
Драма,1,0,США,2000.0
Документальный,нет данных,28,Германия,2013.0
Документальный,12,19,Франция,2009.0
Драма,1,53,Франция,2016.0
Боевик,0,27,Италия,2006.0
Комедия,1,35,США,2015.0
Триллер,1,36,Франция,2011.0
Боевик,7,0,США,2004.0
Боевик,1,44,США,2002.0
Комедия,0,29,Россия,2009.0
Документальный,1,36,Италия,2013.0
Драма,0,45,Франция,
Триллер,0,42,Россия,2016.0
Драма,3,17,США,2002.0
Боевик,1,26,Россия,2005.0
Драма,1,38,США,2020.0
Документальный,1,29,Россия,2012.0
Документальный,1,30,Германия,2011.0
Боевик,1,5,Россия,2007.0
Комедия,2,45,Италия,
Комедия,нет данных,44,Германия,2013.0
Боевик,2,52,Россия,2002.0
Драма,2,31,США,2002.0
Боевик,1,23,Россия,2018.0
Драма,нет данных,26,Италия,
Драма,1,20,Германия-Франция,2012.0
Документальный,нет данных,59,Германия,
Боевик,13,11,Россия,2010.0
Драма,3,55,Франция-Италия,2006.0
Триллер,1,24,Германия,2015.0
Боевик,2,45,Россия,1996.0
Драма,1,7,Италия,2009.0
Боевик,1,2,Италия,2011.0
Документальный,1,35,Франция,
Драма,1,9,США,
Драма,нет данных,39,Россия,2015.0
Боевик,1,32,Россия,2012.0
Триллер,1,28,США,2020.0
Триллер,1,50,Россия-Италия,2006.0
Драма,2,0,Италия,2010.0
Боевик,0,26,Россия,2011.0
Триллер,0,38,США,2015.0
Триллер,1,32,Россия,2009.0
Боевик,нет данных,38,США,2009.0
Боевик,нет данных,48,Россия,2008.0
Драма,1,27,Россия,2014.0
Документальный,1,30,Россия,2017.0
Триллер,0,39,Германия-Франция,2007.0
Боевик,2,0,Россия,2014.0
Драма,нет данных,29,Германия,2010.0
Боевик,1,55,США,2010.0
Комедия,нет данных,23,Россия-Италия,2015.0
Триллер,2,2,Франция,2013.0
Боевик,1,30,Россия,
Триллер,0,52,США,2006.0
Триллер,4,0,Россия,2009.0
Боевик,1,40,Россия-Германия,2009.0
Боевик,1,54,Германия,2007.0
Боевик,1,2,Россия,2008.0
Документальный,1,15,Россия,2011.0
Боевик,1,0,Франция,
Боевик,нет данных,55,Германия,2012.0
Драма,1,41,Италия,2003.0
Триллер,2,48,Россия,2011.0
Триллер,1,30,США,2015.0
Триллер,1,34,Россия-Франция,2010.0
Драма,2,39,Германия-Франция,2008.0
Боевик,нет данных,28,США,2003.0
Боевик,1,53,Франция,2017.0
Триллер,нет данных,45,Россия,2009.0
Драма,нет данных,38,Россия,2013.0
Боевик,нет данных,39,Россия,
Боевик,1,56,США,2004.0
Комедия,1,30,Россия,2001.0
Боевик,1,9,Россия,
Боевик,1,44,Россия,2012.0
Драма,1,25,Франция,2013.0
Боевик,6,40,Россия-Франция,2009.0
Драма,2,8,Россия,2009.0
Драма,1,40,Россия,2010.0
Боевик,2,22,Россия,2012.0
Драма,0,22,Италия,2017.0
Триллер,1,17,США,2009.0
Комедия,1,57,США,2005.0
Комедия,0,70,Россия,2010.0
Боевик,1,2,США,2000.0
Триллер,1,21,Россия,2003.0
Триллер,1,20,США-Германия,2006.0
Документальный,1,8,Россия,2009.0
Драма,8,39,Италия,2014.0
Драма,1,20,Италия,2012.0
Боевик,1,41,Германия,2004.0
Боевик,1,11,США,2008.0
Документальный,1,11,Франция,2015.0
Драма,1,20,Россия,2015.0
Боевик,1,42,Германия,
Драма,нет данных,54,Россия,2013.0
Боевик,1,14,Россия,2005.0
Триллер,0,48,Италия,2016.0
Триллер,1,33,Россия,
Драма,1,26,Россия,2005.0
Триллер,1,21,Франция,2004.0
Документальный,4,44,США,2009.0
Драма,1,52,США,2009.0
Драма,1,32,Германия,2013.0
Драма,1,41,Германия-Франция,2014.0
Триллер,1,34,США,2004.0
Боевик,1,19,Россия,2009.0
Документальный,1,4,Россия,2009.0
Драма,1,30,Россия,1999.0
Комедия,2,29,США,2012.0
Драма,нет данных,30,Германия,2007.0
Триллер,2,79,Россия,2008.0
Боевик,1,26,Германия,2007.0
Триллер,нет данных,39,Россия,
Драма,1,42,Италия,2014.0
Триллер,1,27,США,2015.0
Драма,2,13,США,2003.0
Боевик,1,32,Италия,2012.0
Комедия,1,46,Россия,2012.0
Драма,1,48,США,2000.0
Боевик,нет данных,46,Италия,2012.0
Драма,15,30,Франция,2001.0
Триллер,14,14,США,2016.0
Драма,1,7,США,2007.0
Боевик,1,90,Россия,2005.0
Боевик,0,47,Россия,
Боевик,нет данных,37,Германия,2008.0
Драма,1,10,Россия,2001.0
Боевик,1,52,США,2019.0
Триллер,2,52,Германия,2008.0
Триллер,0,40,Россия,2010.0
Боевик,1,39,США,2017.0
Комедия,1,30,Франция,
Драма,нет данных,22,США,2016.0
Боевик,1,24,Германия,2007.0
Драма,нет данных,53,США,2000.0
Документальный,нет данных,55,Франция,2010.0
Документальный,1,37,Россия-Франция,2014.0
Драма,1,20,США,2002.0
Комедия,1,31,Италия,2014.0
Боевик,0,47,Россия,2003.0
Драма,1,40,США,2011.0
Боевик,нет данных,59,Германия,2001.0
Драма,2,6,США,2021.0
Боевик,1,44,США,2010.0
Комедия,нет данных,47,Россия,
Боевик,нет данных,40,Франция,2012.0
Драма,1,57,Россия,2016.0
Драма,1,31,Италия,2012.0
Драма,1,25,США,2011.0
Боевик,1,50,США,2011.0
Драма,1,30,Германия,2007.0
Документальный,0,40,США,2015.0
Триллер,1,0,Италия,2013.0
Драма,6,36,Россия,2009.0
Документальный,нет данных,42,Россия,2010.0
Боевик,1,21,США,2005.0
Триллер,1,29,США,2011.0
Боевик,3,4,Франция,2011.0
Драма,1,41,Россия,2007.0
Боевик,0,16,США,
Триллер,0,20,Россия-Германия,2016.0
Боевик,1,25,Германия,2006.0
Драма,нет данных,30,США,2011.0
Драма,1,47,Германия,2014.0
Триллер,1,33,Франция-Италия,2007.0
Драма,нет данных,14,США,2022.0
Драма,2,50,Россия,2007.0
Драма,нет данных,30,Россия,2009.0
Документальный,0,27,Россия,2010.0
Боевик,1,32,Франция,2006.0
Боевик,1,52,Россия,2009.0
Боевик,2,30,Россия,2000.0
Драма,1,0,Россия,2016.0
Драма,1,23,Италия,2006.0
Боевик,1,57,Россия,2010.0
Триллер,9,34,США,2012.0
Боевик,1,15,Россия,2007.0
Документальный,1,39,Россия,2005.0
Триллер,0,45,США,
Боевик,1,38,США,2001.0
Триллер,0,163,Германия-Франция,2010.0
Боевик,1,39,Германия,2007.0
Боевик,1,15,Россия-Германия,2015.0
Комедия,1,21,США,2000.0
Боевик,1,39,США,2008.0
Триллер,нет данных,60,Италия,2001.0
Драма,1,10,Россия,2006.0
Триллер,0,46,США,2003.0
Триллер,3,30,Россия,
Драма,1,15,Россия-Франция,2016.0
Драма,2,7,США-Германия,2003.0
Драма,5,27,США,2005.0
Драма,2,112,Россия,2007.0
Документальный,нет данных,53,Италия,2010.0
Драма,1,45,Франция,2002.0
Документальный,5,41,США,
Документальный,1,18,Россия,2004.0
Боевик,нет данных,15,Россия,2011.0
Комедия,2,53,Италия,2007.0
Боевик,0,16,Россия,2010.0
Комедия,нет данных,31,Россия,2008.0
Боевик,1,32,Россия,2010.0
Документальный,1,26,США,2004.0
Боевик,2,25,Франция,2003.0
Драма,1,35,Россия,2000.0
Триллер,1,11,Россия,2011.0
Боевик,1,53,Франция,2010.0
Драма,1,30,Россия,2014.0
Документальный,0,45,США,2010.0
Комедия,1,50,США,2023.0
Драма,1,5,США,2003.0
Документальный,1,18,Россия,2006.0
Комедия,1,13,Россия-Германия,2010.0
Драма,0,0,Россия,2015.0
Комедия,1,59,Россия,2008.0
Боевик,1,31,Россия,2016.0
Драма,1,43,Россия,2004.0
Комедия,2,60,Россия,2008.0
Документальный,2,50,Россия,2003.0
Драма,1,25,Россия,2018.0
Боевик,2,46,США,2006.0
Триллер,1,25,Германия-Франция,2002.0
Триллер,1,28,Россия,2011.0
Документальный,1,0,Франция,2007.0
Драма,2,4,Россия,2007.0
Боевик,2,4,Россия,2008.0
Драма,1,7,США,2008.0
Боевик,1,11,Россия,2006.0
Боевик,1,10,Россия,2004.0
Триллер,нет данных,10,Россия-Франция,2008.0
Документальный,19,18,Россия,2010.0
Триллер,1,37,Германия-Франция,2016.0
Документальный,4,31,Россия-Франция,2015.0
Документальный,1,46,Франция,2022.0
Боевик,1,32,Россия-Италия,2003.0
Драма,0,9,Россия,2007.0
Драма,1,5,Франция-Италия,2010.0
Боевик,нет данных,53,Италия,2012.0
Драма,2,0,США,2007.0
Драма,1,38,Франция,2015.0
Триллер,1,18,Франция-Италия,2002.0
Боевик,1,24,Россия,2006.0
Комедия,нет данных,21,США,2006.0
Триллер,1,15,Россия,2008.0
Боевик,1,22,Германия,2023.0
Триллер,0,40,Франция-Италия,
Боевик,нет данных,51,Франция,2006.0
Боевик,1,2,США,2015.0
Драма,1,44,Россия,
Комедия,1,26,Россия,2003.0
Триллер,1,44,Россия-Италия,2017.0
Драма,нет данных,28,США,2005.0
Боевик,6,56,США,2004.0
Триллер,1,80,Россия,2010.0
Триллер,0,0,Франция,2011.0
Драма,нет данных,0,Франция,2013.0
Драма,1,23,Франция,
Драма,нет данных,31,Россия-Италия,2009.0
Драма,1,44,США,2016.0
Документальный,2,6,Германия,
Документальный,1,32,Франция,2012.0
Драма,1,2,Германия,2012.0
Боевик,1,0,Франция-Италия,2008.0
Драма,1,44,США,2000.0
Комедия,10,36,Россия,2011.0
Боевик,13,21,США,2012.0
Драма,нет данных,38,США,
Драма,1,18,США,2014.0
Триллер,нет данных,10,Франция,2015.0
Драма,1,0,Россия,2011.0
Драма,8,28,Италия,
Драма,1,30,Россия,2010.0
Документальный,2,44,Россия,
Боевик,1,16,Россия,2007.0
Драма,1,22,Германия,2017.0
Драма,4,5,Россия-Италия,
Документальный,1,45,США,2002.0
Документальный,1,8,Россия-Германия,2018.0
Боевик,1,24,США,2015.0
Боевик,1,58,США,2011.0
Триллер,2,17,Россия-Италия,2001.0
Боевик,1,4,США,2014.0
Комедия,нет данных,37,Франция,
Комедия,1,18,США-Германия,2011.0
Триллер,нет данных,3,Россия,2008.0
Боевик,нет данных,61,Франция,
Боевик,нет данных,39,Россия-Италия,2017.0
Боевик,0,30,Франция-Италия,2008.0
Боевик,0,10,Франция,
Боевик,3,27,Италия,2020.0
Драма,1,45,Франция,2010.0
Боевик,нет данных,53,Россия,1999.0
Комедия,1,17,Россия,2013.0
Боевик,0,24,Россия-Германия,2015.0
Боевик,1,35,Германия,2008.0
Боевик,1,0,Германия,
Триллер,1,26,США,2003.0
Документальный,1,16,Италия,2009.0
Документальный,0,10,США,2009.0
Боевик,нет данных,52,Франция,2011.0
Триллер,нет данных,14,Россия,2011.0
Триллер,13,44,Россия,2008.0
Драма,1,36,Германия,2006.0
Триллер,1,25,Франция,
Документальный,3,26,Италия,
Драма,14,30,Россия,
Драма,1,9,Германия,2014.0
Боевик,3,40,Россия,
Драма,1,91,Россия-Франция,2006.0
Драма,1,54,Россия,2007.0
Боевик,1,14,Германия-Франция,2009.0
Боевик,1,42,Россия,2000.0
Драма,1,46,США-Германия,2011.0
Драма,1,108,Россия,2016.0
Триллер,6,44,США,
Драма,1,93,США,2012.0
Комедия,1,26,Россия,2005.0
Боевик,1,40,Россия,2013.0
Драма,0,48,Италия,2002.0
Драма,нет данных,42,Россия,2011.0
Триллер,1,48,США,2014.0
Боевик,1,7,Франция,2015.0
Комедия,2,4,Германия,2016.0
Документальный,1,43,США,2011.0
Комедия,1,44,Франция,2010.0
Комедия,1,54,Россия,2009.0
Боевик,1,42,США,2006.0
Боевик,0,0,Россия,2007.0
Комедия,1,52,Россия-Италия,2006.0
Боевик,2,0,Россия,2006.0
Триллер,0,26,Италия,2011.0
Триллер,1,52,Россия,2012.0
Триллер,0,10,Франция,
Драма,1,59,Франция-Италия,2011.0
Боевик,1,16,Россия,2014.0
Боевик,1,59,США,2006.0
Боевик,3,4,Россия,2019.0
Боевик,1,0,Россия,2011.0
Боевик,1,13,Германия,2001.0
Триллер,нет данных,13,Россия-Италия,
Боевик,1,25,США,1999.0
Триллер,3,22,США,2005.0
Боевик,1,32,Россия,2010.0
Документальный,1,26,Германия,2005.0
Драма,нет данных,42,Россия,2003.0
Комедия,нет данных,15,Россия,
Боевик,0,40,Франция,2005.0
Боевик,11,30,США,2009.0
Драма,1,30,Россия,2010.0
Документальный,нет данных,22,Германия,2008.0
Боевик,нет данных,30,США,2006.0
Комедия,1,52,Россия,2011.0
Боевик,1,0,Россия,2006.0
Боевик,0,32,Германия,2012.0
Триллер,5,39,США,2011.0
Триллер,1,45,США,2012.0
Драма,1,9,Россия,2000.0
Триллер,1,51,Италия,2015.0
Боевик,нет данных,44,Германия-Франция,2017.0
Драма,1,53,Россия,2005.0
Триллер,0,43,Италия,2005.0
Триллер,1,52,Германия-Франция,2011.0
Драма,1,41,Германия-Франция,2009.0
Драма,1,35,Германия,2008.0
Боевик,1,27,Россия,2011.0
Документальный,3,30,Франция,2014.0
Боевик,нет данных,27,Россия,2019.0
Драма,2,43,США,
Триллер,19,39,Россия,2013.0
Триллер,0,50,Россия,2016.0
Боевик,1,55,Россия,2015.0
Драма,0,20,Россия,2008.0
Комедия,нет данных,8,Франция-Италия,2009.0
Драма,0,0,Россия,2009.0
Боевик,1,92,Франция,2008.0
Триллер,8,36,Германия,2006.0
Драма,1,3,США,2004.0
Драма,1,19,США,2014.0
Драма,нет данных,38,Россия,2014.0
Драма,1,44,Россия,2010.0
Триллер,6,25,Италия,2015.0
Документальный,нет данных,26,США,2001.0
Боевик,1,45,Франция-Италия,2013.0
Триллер,1,22,США,2009.0
Триллер,1,23,США-Германия,2013.0
Боевик,1,34,Россия,1999.0
Документальный,1,6,Германия,2009.0
Боевик,нет данных,48,Россия-Германия,2017.0
Комедия,1,35,США,2006.0
Комедия,2,52,США,2012.0
Комедия,1,42,Италия,2012.0
Комедия,нет данных,52,США,2015.0
Боевик,1,35,США,2007.0
Боевик,3,51,Россия,2016.0
Боевик,нет данных,36,Россия,2011.0
Боевик,1,32,Россия,2000.0
Боевик,1,29,США,2013.0
Драма,1,0,Россия,2017.0
Комедия,1,33,Франция,2011.0
Боевик,1,27,Россия,
Боевик,2,5,США,2009.0
Боевик,0,70,Россия-Германия,2015.0
Триллер,1,40,Германия,
Драма,1,52,США,1996.0
Боевик,1,29,США,2018.0
Документальный,нет данных,7,Россия,2011.0
Боевик,1,39,Россия,2010.0
Драма,1,18,США,2008.0
Драма,нет данных,30,США-Германия,2019.0
Боевик,нет данных,36,Россия,2001.0
Триллер,1,52,Россия,2008.0
Драма,1,4,США,2016.0
Драма,2,6,США,2003.0
Боевик,1,21,Россия-Германия,2004.0
Триллер,15,56,Франция-Италия,2010.0
Триллер,0,14,Италия,2012.0
Боевик,0,60,США,2006.0
Боевик,1,26,Италия,
Триллер,1,55,Италия,2008.0
Триллер,1,44,Италия,2001.0
Боевик,1,15,Италия,2004.0
Документальный,1,10,Россия,2013.0
Драма,1,39,Франция-Италия,2010.0
Боевик,0,47,Россия-Германия,2005.0
Боевик,нет данных,35,Россия,2011.0
Триллер,1,37,Германия,2010.0
Документальный,нет данных,51,США,
Драма,0,28,Россия,2013.0
Боевик,2,52,Россия,2009.0
Боевик,нет данных,28,Россия,2011.0
Драма,1,10,Италия,2002.0
Комедия,1,50,Россия,2007.0
Документальный,1,0,Германия,2008.0
Документальный,1,53,Россия,2003.0
Драма,1,47,Россия,2012.0
Драма,2,20,Германия,2008.0
Боевик,нет данных,33,Германия,2010.0
Боевик,9,45,Россия,2011.0
Боевик,нет данных,37,США,2009.0
Триллер,1,0,Россия-Италия,2006.0
Триллер,8,26,Франция,2004.0
Драма,1,28,Россия,2008.0
Драма,2,35,Россия,2012.0
Комедия,нет данных,24,Россия,2016.0
Документальный,нет данных,30,Италия,1998.0
Комедия,1,13,США,1999.0
Триллер,0,19,Россия,
Документальный,1,34,Россия,2013.0
Триллер,1,35,Россия,2007.0
Боевик,2,6,США,2010.0
Комедия,1,51,Россия,2014.0
Боевик,нет данных,10,США,2016.0
Боевик,2,27,Россия,2017.0
Драма,0,37,США,2005.0
Боевик,1,1,Россия,2012.0
Комедия,1,33,Россия,2011.0
Драма,64,53,Россия-Германия,2017.0
Драма,1,26,Россия-Германия,2015.0
Драма,1,30,Россия,2005.0
Комедия,1,25,США,1999.0
Боевик,1,20,Россия,2007.0
Боевик,0,10,Италия,2004.0
Боевик,1,40,США,2011.0
Боевик,0,27,США,2002.0
Документальный,0,53,Россия,2012.0
Комедия,2,40,США,2007.0
Боевик,0,37,США,2009.0
Драма,1,31,Россия,2010.0
Боевик,1,47,Россия,2018.0
Боевик,1,49,США,2016.0
Боевик,2,30,Италия,2012.0
Триллер,2,40,Россия,2004.0
Драма,2,20,Россия,2010.0
Триллер,0,38,Франция,2012.0
Документальный,0,10,США,2005.0
Боевик,1,45,США,2006.0
Документальный,6,53,Россия,2012.0
Боевик,1,38,Россия-Франция,2010.0
Драма,1,0,Россия,2010.0
Драма,2,2,Россия,2011.0
Драма,1,27,Франция-Италия,2012.0
Триллер,2,50,США,2009.0
Драма,1,55,Россия,2011.0
Документальный,1,27,США,
Драма,1,43,США,2010.0
Драма,1,55,Россия,2009.0
Триллер,1,12,США-Германия,
Триллер,3,40,Италия,2016.0
Боевик,1,34,Россия,2008.0
Боевик,1,21,Италия,2007.0
Документальный,3,8,Россия,2009.0
Боевик,1,27,США,2011.0
Триллер,1,48,США,2012.0
Документальный,0,8,Россия,2009.0
Комедия,1,13,США,2010.0
Боевик,нет данных,35,США,2013.0
Боевик,нет данных,40,Россия,2001.0
Комедия,нет данных,37,США,2015.0
Драма,1,35,Россия,2004.0
Драма,0,32,Россия,2010.0
Документальный,2,34,Франция-Италия,2010.0
Боевик,6,0,США,2021.0
Боевик,нет данных,50,США,2004.0
Драма,0,33,Россия,2012.0
Боевик,нет данных,17,США,2016.0
Триллер,1,42,США,2012.0
Боевик,нет данных,30,Италия,2005.0
Документальный,1,0,Россия,
Триллер,0,16,Германия,2008.0
Боевик,2,2,Италия,2008.0
Комедия,1,30,США,2012.0
Документальный,1,34,Франция,2013.0
Драма,2,25,США,2005.0
Триллер,0,8,Германия,2023.0
Боевик,0,47,Россия,2010.0
Триллер,1,46,Россия,2007.0
Драма,1,41,США,2010.0
Драма,1,35,Россия,2015.0
Драма,нет данных,52,Россия,2017.0
Триллер,2,34,Россия,2004.0
Драма,1,58,Россия,2009.0
Триллер,нет данных,29,Россия,2009.0
Комедия,1,15,Германия,2005.0
Триллер,1,50,Германия,2017.0
Драма,1,16,США,2010.0
Боевик,нет данных,8,США,2009.0
Боевик,1,6,Франция,2009.0
Триллер,1,44,Россия,2005.0
Боевик,1,48,США,2003.0
Документальный,нет данных,28,Россия,2013.0
Триллер,1,9,Россия,2016.0
Боевик,1,42,Россия,2005.0
Драма,1,45,Россия,2006.0
Драма,1,6,США,2008.0
Боевик,0,38,Италия,2007.0
Драма,2,38,Франция,
Драма,1,56,Россия,2012.0
Драма,нет данных,0,США,
Боевик,1,30,США,2014.0
Триллер,0,14,Россия,
Драма,0,50,США,2005.0
Драма,11,30,Франция-Италия,2014.0
Комедия,1,41,Россия,2018.0
Драма,17,1,Россия-Франция,2016.0
Драма,нет данных,44,Россия,
Боевик,0,24,Россия,2004.0
Триллер,1,26,Россия,2011.0
Боевик,1,39,Германия,2014.0
Боевик,1,36,Россия,2013.0
Триллер,0,46,Россия,2008.0
Комедия,2,50,Россия,2015.0
Комедия,нет данных,25,США,2016.0
Боевик,нет данных,47,Франция,2007.0
Боевик,1,0,США-Германия,2011.0
Боевик,нет данных,30,Россия,2017.0
Боевик,1,47,Россия,2007.0
Триллер,нет данных,15,Франция,2013.0
Боевик,1,0,Россия,
Драма,нет данных,24,Россия,2016.0
Документальный,2,26,Италия,2013.0
Боевик,нет данных,44,Россия-Италия,2015.0
Комедия,нет данных,35,Россия-Германия,2005.0
Боевик,1,60,Россия,2008.0
Боевик,нет данных,1,Германия,2012.0
Триллер,1,40,США,2014.0
Боевик,2,39,Германия,2006.0
Документальный,1,37,Россия,2013.0
Драма,нет данных,50,США,2011.0
Комедия,нет данных,36,Германия,2021.0
Триллер,нет данных,50,Россия,2017.0
Триллер,1,38,США,2012.0
Комедия,1,26,США,2009.0
Боевик,2,29,США-Германия,2013.0
Боевик,нет данных,28,Россия,2009.0
Боевик,1,50,США,2004.0
Триллер,1,44,Франция-Италия,
Драма,нет данных,46,Германия,2007.0
Боевик,5,23,Россия,2000.0
Триллер,1,39,Германия,2012.0
Драма,2,40,Россия,2013.0
Триллер,0,55,США,2013.0
Триллер,1,0,Франция,2010.0
Боевик,нет данных,35,Италия,2010.0
Драма,1,38,Россия,2011.0
Боевик,1,39,Россия,2006.0
Драма,нет данных,19,Франция,2010.0
Боевик,1,44,Россия-Франция,2006.0
Триллер,1,54,Россия,2003.0
Комедия,нет данных,48,Россия,2009.0
